Unique ID,Sub Variety,ITEM NAME
Bp332,Super Fine Sela,DUST
Bp333,Super Fine Sela,EMPTY BAGS WEIGHT
Bp334,Super Fine Sela,EXCESS EXPORT
Bp335,Super Fine Sela,WEIGHT LOSS
Bp336,Super Fine Steam,FINISHED GOODS
Bp337,Super Fine Steam,B-Q
Bp338,Super Fine Steam,B-1
Bp339,Super Fine Steam,B-2
Bp340,Super Fine Steam,B-2 CSR
Bp341,Super Fine Steam,B-3
Bp342,Super Fine Steam,CSR
Bp343,Super Fine Steam,PADDY
Bp344,Super Fine Steam,CHOBA
Bp345,Super Fine Steam,RICE POLISH
Bp346,Super Fine Steam,DUST
Bp347,Super Fine Steam,EMPTY BAGS WEIGHT
Bp348,Super Fine Steam,EXCESS EXPORT
Bp349,Super Fine Steam,WEIGHT LOSS
Bp350,386 White,FINISHED GOODS
Bp351,386 White,B-Q
Bp352,386 White,B-1
Bp353,386 White,B-2
Bp354,386 White,B-2 CSR
Bp355,386 White,B-3
Bp356,386 White,CSR
Bp357,386 White,PADDY
Bp358,386 White,CHOBA
Bp359,386 White,RICE POLISH
Bp360,386 White,DUST
Bp361,386 White,EMPTY BAGS WEIGHT
Bp362,386 White,EXCESS EXPORT
Bp363,386 White,WEIGHT LOSS
Bp364,386 Sela,FINISHED GOODS
Bp365,386 Sela,B-Q
Bp366,386 Sela,B-1
Bp367,386 Sela,B-2
Bp368,386 Sela,B-2 CSR
Bp369,386 Sela,B-3
Bp370,386 Sela,CSR
Bp371,386 Sela,PADDY
Bp372,386 Sela,CHOBA
Bp373,386 Sela,RICE POLISH
Bp374,386 Sela,DUST
Bp375,386 Sela,EMPTY BAGS WEIGHT
Bp376,386 Sela,EXCESS EXPORT
Bp377,386 Sela,WEIGHT LOSS
Bp378,386 Steam,FINISHED GOODS
Bp379,386 Steam,B-Q
Bp380,386 Steam,B-1
Bp381,386 Steam,B-2
Bp382,386 Steam,B-2 CSR
Bp383,386 Steam,B-3
Bp384,386 Steam,CSR
Bp385,386 Steam,PADDY
Bp386,386 Steam,CHOBA
Bp387,386 Steam,RICE POLISH
Bp388,386 Steam,DUST
Bp389,386 Steam,EMPTY BAGS WEIGHT
Bp390,386 Steam,EXCESS EXPORT
Bp391,386 Steam,WEIGHT LOSS
Bp392,Basmati 385 White,FINISHED GOODS
Bp393,Basmati 385 White,B-Q
Bp394,Basmati 385 White,B-1
Bp395,Basmati 385 White,B-2
Bp396,Basmati 385 White,B-2 CSR
Bp397,Basmati 385 White,B-3
Bp398,Basmati 385 White,CSR
Bp399,Basmati 385 White,PADDY
Bp400,Basmati 385 White,CHOBA
Bp401,Basmati 385 White,RICE POLISH
Bp402,Basmati 385 White,DUST
Bp403,Basmati 385 White,EMPTY BAGS WEIGHT
Bp404,Basmati 385 White,EXCESS EXPORT
Bp405,Basmati 385 White,WEIGHT LOSS
Bp406,Basmati 385 Sela,FINISHED GOODS
Bp407,Basmati 385 Sela,B-Q
Bp408,Basmati 385 Sela,B-1
Bp409,Basmati 385 Sela,B-2
Bp410,Basmati 385 Sela,B-2 CSR
Bp411,Basmati 385 Sela,B-3
Bp412,Basmati 385 Sela,CSR
Bp413,Basmati 385 Sela,PADDY
Bp414,Basmati 385 Sela,CHOBA
Bp415,Basmati 385 Sela,RICE POLISH
Bp416,Basmati 385 Sela,DUST
Bp417,Basmati 385 Sela,EMPTY BAGS WEIGHT
Bp418,Basmati 385 Sela,EXCESS EXPORT
Bp419,Basmati 385 Sela,WEIGHT LOSS
Bp420,Basmati 385 Steam,FINISHED GOODS
Bp421,Basmati 385 Steam,B-Q
Bp422,Basmati 385 Steam,B-1
Bp423,Basmati 385 Steam,B-2
Bp424,Basmati 385 Steam,B-2 CSR
Bp425,Basmati 385 Steam,B-3
Bp426,Basmati 385 Steam,CSR
Bp427,Basmati 385 Steam,PADDY
Bp428,Basmati 385 Steam,CHOBA
Bp429,Basmati 385 Steam,RICE POLISH
Bp430,Basmati 385 Steam,DUST
Bp431,Basmati 385 Steam,EMPTY BAGS WEIGHT
Bp432,Basmati 385 Steam,EXCESS EXPORT
Bp433,Basmati 385 Steam,WEIGHT LOSS
Bp434,Irri-9 White,FINISHED GOODS
Bp435,Irri-9 White,B-Q
Bp436,Irri-9 White,B-1
Bp437,Irri-9 White,B-2
Bp438,Irri-9 White,B-2 CSR
Bp439,Irri-9 White,B-3
Bp440,Irri-9 White,CSR
Bp441,Irri-9 White,PADDY
Bp442,Irri-9 White,CHOBA
Bp443,Irri-9 White,RICE POLISH
Bp444,Irri-9 White,DUST
Bp445,Irri-9 White,EMPTY BAGS WEIGHT
Bp446,Irri-9 White,EXCESS EXPORT
Bp447,Irri-9 White,WEIGHT LOSS
Bp448,Irri-9 Sela,FINISHED GOODS
Bp449,Irri-9 Sela,B-Q
Bp450,Irri-9 Sela,B-1
Bp451,Irri-9 Sela,B-2
Bp452,Irri-9 Sela,B-2 CSR
Bp453,Irri-9 Sela,B-3
Bp454,Irri-9 Sela,CSR
Bp455,Irri-9 Sela,PADDY
Bp456,Irri-9 Sela,CHOBA
Bp457,Irri-9 Sela,RICE POLISH
Bp458,Irri-9 Sela,DUST
Bp459,Irri-9 Sela,EMPTY BAGS WEIGHT
Bp460,Irri-9 Sela,EXCESS EXPORT
Bp461,Irri-9 Sela,WEIGHT LOSS
Bp462,Irri-9 Steam,FINISHED GOODS
Bp463,Irri-9 Steam,B-Q
Bp464,Irri-9 Steam,B-1
Bp465,Irri-9 Steam,B-2
Bp466,Irri-9 Steam,B-2 CSR
Bp467,Irri-9 Steam,B-3
Bp468,Irri-9 Steam,CSR
Bp469,Irri-9 Steam,PADDY
Bp470,Irri-9 Steam,CHOBA
Bp471,Irri-9 Steam,RICE POLISH
Bp472,Irri-9 Steam,DUST
Bp473,Irri-9 Steam,EMPTY BAGS WEIGHT
Bp474,Irri-9 Steam,EXCESS EXPORT
Bp475,Irri-9 Steam,WEIGHT LOSS
Bp476,Lal 386 White,FINISHED GOODS
Bp477,Lal 386 White,B-Q
Bp478,Lal 386 White,B-1
Bp479,Lal 386 White,B-2
Bp480,Lal 386 White,B-2 CSR
Bp481,Lal 386 White,B-3
Bp482,Lal 386 White,CSR
Bp483,Lal 386 White,PADDY
Bp484,Lal 386 White,CHOBA
Bp485,Lal 386 White,RICE POLISH
Bp486,Lal 386 White,DUST
Bp487,Lal 386 White,EMPTY BAGS WEIGHT
Bp488,Lal 386 White,EXCESS EXPORT
Bp489,Lal 386 White,WEIGHT LOSS
Bp490,Lal 386 Sela,FINISHED GOODS
Bp491,Lal 386 Sela,B-Q
Bp492,Lal 386 Sela,B-1
Bp493,Lal 386 Sela,B-2
Bp494,Lal 386 Sela,B-2 CSR
Bp495,Lal 386 Sela,B-3
Bp496,Lal 386 Sela,CSR
Bp497,Lal 386 Sela,PADDY
Bp498,Lal 386 Sela,CHOBA
Bp499,Lal 386 Sela,RICE POLISH
Bp500,Lal 386 Sela,DUST
Bp501,Lal 386 Sela,EMPTY BAGS WEIGHT
Bp502,Lal 386 Sela,EXCESS EXPORT
Bp503,Lal 386 Sela,WEIGHT LOSS
Bp504,Lal 386 Steam,FINISHED GOODS
Bp505,Lal 386 Steam,B-Q
Bp506,Lal 386 Steam,B-1
Bp507,Lal 386 Steam,B-2
Bp508,Lal 386 Steam,B-2 CSR
Bp509,Lal 386 Steam,B-3
Bp510,Lal 386 Steam,CSR
Bp511,Lal 386 Steam,PADDY
Bp512,Lal 386 Steam,CHOBA
Bp513,Lal 386 Steam,RICE POLISH
Bp514,Lal 386 Steam,DUST
Bp515,Lal 386 Steam,EMPTY BAGS WEIGHT
Bp516,Lal 386 Steam,EXCESS EXPORT
