CODE,DESCRIPTION
4281,SHAH AKIQE
4282,YOUNAS SOOMRO
4283,MA SHALLLAH COM.AGENT
4284,ZULFIQAR
4286,PAK BROKER
4287,TULSI DAS DEEPAK
4289,GUL PERKASH
4291,M SHERAZ
4119,ETIHAD SUGHAR MILLS LTD - MDF
4120,H.ABDUL RAZZAK AHMED & SONS (PIPES)
4121,JEDDAH MILL STORE - BELTS
4122,SADIQ STEEL
4123,BLACK GOLD INDUSTRY - SKP
4124,BURAQ ENTERPRISES - ELECTRICAL
4125,ASIF & CO - (ASIF CHIPPA) ELECRICAL PENALS
4126,LOKHANDWALA TRADERS
4127,ZAID ENGINEERING - MS CHAIN
4128,STEEL INTERNATIONAL - NTN# 3167096-2 SKP-2
4129,DHA PHASE-9 VILLAS 2022
4131,BANDHI SUGAR MILLS LTD- BAGGASSE
4132,"SINOCHEM HEBEI CORPORATION, CHINA"
4134,M.SHARIF & CO
4135,"DANISH DAIRY & AGRICULTURAL SUPPLIERS LTD, SAUDI ARAB"
4136,PIONEER STEEL - (MS PRODUCTS SILO & PLANTS)
4137,TRADERS IMPEX
4138,TECHSOL SOLUTIONS
4139,USAMA CORPORATION - BELTS
4140,ERA AUTOMATION $ LAB PVT LTD
4141,AL FALAH CHEMICALS - SILICA GEL
4142,ATIQUE TRADERS OFFICE - PAPER
4143,DISCOVERY VENTURES PVT LTD (PORT GRAND)
4144,IRFAN BROKER  KARACHI - MUGHAL
4145,AKHTER NAGORI KARACHI - MUGHAL
4147,YAQOOB MUSTUFA
4148,DAWOOD C/O ARIF ZAKARIA
5136,GRIND WHEEL (PAK) LTD.
5137,TECHMIXERS PVT LTD - MARKETING SERVICE
5138,AL WASIQA PACKAGES PVT LTD - PACKING TAPE
5139,GSM SIKANDER (IRRI-6)
5140,KIKI''S RESTURANT - KARACHI
3990,RAFAY WASAY TRADERS (PP YARN-THREADS)
3992,LOAN TO M.IMRAN (EXPORT DEPTT MANAGER) 2021
3993,ELECTRO DYNAMIC WORKS (PVT) LTD
3994,MASTER ENGINEERING (PQ FIBER TANK)
3995,KAMRAN BROKER
3997,DIAL ZERO PVT LTD  - (FACEBOOK MARKETING)
3998,MANAL STUDIO (SHOP-73 DHA PH-2)
3999,ISHTIAQ STEEL INDUSTRY (GHARO W BRIDGE STRUCTRE)
4001,SAGA INTERNATIONAL - (MUGHAL PACKING MACHINE)
4002,ADNAN BROKER
4005,MARKUP PAYABLE - NBP
4006,ERF I & II LOAN NBP
4007,AL NOOR SUGAR MILLS LTD (MDF & BAGGASSE0
4008,LUCKY CEMENT LTD
4009,FAA STEEL (MS PRODUCTS) MDF GAHRO
4010,PAKISTAN INSULATION PVT LTD
4011,TRANSFO TECH ENGINEERING (SMC-PVT) LTD
4013,THE SUPPLIERS (MDF) PACKING TAPE
4015,DODSTECH (MDF SHAFTS)
4017,LC-21INSU0115-00033 $32290 SEED PLANT
4018,LC/01/030/732 PMC PETROGULF $257400
4020,"SHENZHEN BAOAN GRAIN CO LTD, CHINA"
4021,ABID BROKER
4023,INTERNATIONAL PRINTING INKS AND CHEMICALS PVT LTD (PP)
4024,ASHRAFI ENTERPRISES  (PP BLOCKS -SLICON)
4025,"PUBLIC AUTHORITY FOR STORES AND FOOD RESERVE, OMAN"
4028,SITE PETROLEUM PRODUCTS (HSD MDF)
4029,DIRECTORS MISC RECEIPTS/PAYMENTS
4030,M.S.H.COMPANY (MDF CHALK)
4031,IBRAHIM SERVICES (CRAN WORKS) PQ
4032,ITTEHAD STEEL INDUSTRIES (ALTAF)
4033,GUL MUSTAFA TRADER - HYDERABAD
4034,RIZWAN AUTOMOBILE - (MDF)
4036,SHAHID BROKER
4037,SILVER RICE PROCESSING MILLS (ADJUSTMENT AC)
4039,LARKANA SITE PLOTS
4040,CAPITAL MILL STORE CO
4042,GUJJO LAND DEVELOPMENT AC - (SABAHAT) 2021
4043,NOOR MUHAMMAD SONS (BEARINGS)
4044,KHALID TRADERS (BEARINGS)
4045,OLYMPIC TRADERS
4046,T.N.M.N. CORPORATION (PP)
4047,SACO TRADERS (PVT) LTD (BEARING)
4049,CLOSE PADDY SUPPLIER GHAROO
4050,ANEES BROKER
4052,ORIONPAX ELECTRICS (COMPUTERS)
4053,NATIONAL TERMINAL STEVEDORES
4054,ALHAUSHABI STEVEDORE PVT LTD
4055,GARIBSONS FERTILIZER MATLI
4056,"LLC RICE TRADE, RUSSIA"
4058,"ZHONGSHAN JU FENG YUAN CEREAL & FOODSTUFF CO LTD, CHINA"
4059,ANQ CORPORATION (MDF)
4060,ELECTROMEC ENGINEERING MDF
4062,BABAR BROKER
4063,PLOT P62 125 YRD BAHRIA TOWN
4064,KHAN BROTHERS (MDF SPARES)
4065,SWS PVT LTD (MDF-PRINTER)
4067,A.H ENTERPRISES
4068,A.H TRADERS
4070,ASIM CHAIN COMPANY - MDF
4072,LABTECH INTERNATIONAL
4073,MUHAMMAD YOUNUS & CO.
4074,RCD CORPORATION
4075,S.NAWABUDDIN & CO.
4076,SH.WILAYAT AHMED & SONS
4077,TAMIM HARDWARE & SUPPLY
4079,R & I ELECTRICAL APPLIANCE (MDF)
4081,SB CHAUDHRY IND - MDF SPARESX
4082,M.ASIF MILL STORE -  MDF SPARE
4083,FLATE REPAIRS (WATER PUMP FB AREA) AMJAD
4084,JADE--E-SERVICES (DARAZ.PK SUPPLIER AC)
4087,POSITIVE ENERGY - KARACHI
4089,ASHRAF & SONS
4090,ELECTROTRADERS - ELECTRICAL GOODS
4094,AL KHIDMAT FOUNDATION WOMEN WING (TRUST) (AGHOSH)
4095,M.S TRADERS (PURCHASE)
4097,OSAKA LIGHTINING - ELECTRICAL
4098,ABDULLAH  RICE TRADERS - HYDERABAD
4099,BE ENERGY LIMITED - HSD GHARO
4100,ARCH ASSOCIATES
4101,DHL PAKISTAN PVT LTD
4104,MYWATER (PVT) LTD - OFFICE
4105,TOTAL CREDIT INFORMATION PVT LTD
4107,A2Z CREATORZ (IT SECURITY)
4108,GS1 PAKISTAN (GUARANTEE) LTD
4109,INDUSTRIAL ANALYTICAL CENTER (IAC) HEJ (INSPECTION)
4110,PHOENIX ARMOUR PVT LTD (SECURITY)
4111,RIGHT TRACK CONSULTANTS (WB)
4112,VIS CREDIT RATING COMPANY LTD
4113,WEIGHING TRACK TRADING
4114,AFAQ STEEL - SKP
4115,AKBAR ENTERPRISIS - CRAFT PAPER
4116,AL MADINA ENTERPRISES - MUGHAL
4117,BASHIR PIPE INDUSTRIES PVT LTD - SKP
4118,AGHA STEEL INDUSTIRES (STEEL BAR CONSTRUCTION)
3964,AKMAL PRINT HOUSE PVT. LTD
3965,K.R.ENTERPRISES (MDF)
3966,YAMEEN BROKER
3967,LC/01/030/643 PETROGULF PMC $68062.50
3969,SHABBIR ELECTRICAL WORKS (MOTORS)
3971,(ALTAF) (ELECTRIAL PQ)
3972,"A,H.TRADERS (ALTAF) (NUT BOLTS) GHARO RICE"
3973,TECHNO TRADE (ALTAF) TOOLS GHARO RICE
3974,FAUCET EMPOURIUM (SANITERY)
3975,ORIET RENTAL MODARBA (GENERATOR RENT PQ)
3976,PAKISTAN LIGHTING LED PRIVATE LIMITED
3977,GLOBAL SERVICES & TRADING (ROYAL FANS) PQ
3978,KASSUMALLY TRADING CO (SPARE PARTS GHARO RICE MILLS)
3979,MB COMMUNICATION (WIRES)
3981,ALI INDUSTRIAL AUTOMATION - GHARO RICE
